                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3681,                 1.1239,                 1.4125,                0.69028,                0.53461,                0.58812,                0.33952,                 1.5493,                 1.7951,                  2.039,               0.006733,               0.006733,               0.006733
                     35,                 1.3555,                 1.0354,                 1.3549,                0.72711,                 0.6301,                0.67361,                0.36945,                 1.6938,                 1.8488,                 2.2242,               0.006634,               0.006634,               0.006634
                     36,                 1.2042,                0.87047,                 1.3721,                0.61363,                0.65541,                0.65176,                0.36674,                 1.6577,                  2.023,                 2.2957,               0.006535,               0.006535,               0.006535
                     37,                 1.0871,                0.92813,                 1.3566,                0.77298,                0.62118,                0.70512,                0.38684,                 1.6807,                 1.6115,                 2.2655,               0.006436,               0.006436,               0.006436
                     38,                 1.2453,                0.97957,                 1.3938,                 0.8039,                0.65093,                0.72346,                0.40104,                 1.5635,                 1.5524,                 2.0155,               0.006337,               0.006337,               0.006337
                     39,                 1.2314,                0.92338,                 1.3454,                0.75622,                0.59797,                0.66298,                0.35222,                 1.6471,                 1.5251,                 2.0476,               0.006238,               0.006238,               0.006238
                     40,                 1.3218,                 0.8799,                 1.3442,                0.70257,                0.55743,                0.61172,                0.30751,                 1.7485,                 1.6369,                 2.1228,               0.006139,               0.006139,               0.006139
                     41,                 1.3233,                0.88339,                 1.2991,                0.81443,                0.53716,                0.64313,                 0.3303,                 1.7271,                 1.5512,                 2.0789,                0.00604,                0.00604,                0.00604
                     42,                 1.2939,                 1.0917,                 1.4411,                0.72961,                0.55609,                 0.6315,                0.32267,                 1.7079,                  1.683,                 2.0932,               0.005941,               0.005941,               0.005941
                     43,                  1.264,                0.91544,                 1.3463,                0.70514,                0.49324,                0.52349,                0.28099,                 1.7128,                 2.0573,                 2.1081,               0.005842,               0.005842,               0.005842
                     44,                 1.2188,                0.91151,                 1.2753,                0.78706,                0.52703,                0.60312,                0.31611,                 1.6274,                 1.6706,                 2.0387,               0.005743,               0.005743,               0.005743
                     45,                 1.1362,                 0.7905,                 1.2813,                0.75482,                0.55743,                0.63606,                0.35053,                 1.5823,                 1.5124,                 2.0012,               0.005644,               0.005644,               0.005644
                     46,                 1.2321,                0.84527,                 1.2246,                0.70093,                0.61149,                0.65242,                0.36209,                 1.5135,                 1.4794,                 1.9621,               0.005545,               0.005545,               0.005545
                     47,                 1.1805,                0.81287,                 1.2911,                 0.7397,                0.66892,                0.72014,                 0.4297,                  1.457,                 1.2437,                 1.8743,               0.005446,               0.005446,               0.005446
                     48,                 1.0458,                0.70218,                 1.2554,                0.74456,                0.71884,                0.72616,                0.43009,                 1.4973,                 1.2365,                 1.9176,               0.005347,               0.005347,               0.005347
                     49,                 1.2119,                0.91565,                 1.4635,                0.70562,                0.73311,                0.72664,                0.43124,                 1.5161,                 1.2907,                 1.9367,               0.005248,               0.005248,               0.005248
                     50,                  1.222,                0.77631,                 1.3233,                0.80512,                0.64205,                0.73117,                0.41755,                 1.5696,                 1.2593,                 1.9662,               0.005149,               0.005149,               0.005149
                     51,                 1.2852,                0.82074,                 1.2524,                0.77278,                0.61486,                0.69108,                0.37164,                 1.6543,                 1.4434,                 2.1639,                0.00505,                0.00505,                0.00505
                     52,                 1.1364,                0.85194,                 1.3561,                 0.7881,                0.64082,                0.71489,                0.39457,                 1.6646,                 1.3684,                 2.1589,               0.004951,               0.004951,               0.004951
                     53,                 1.2708,                0.80012,                 1.2933,                0.77076,                 0.6723,                0.73014,                0.40883,                 1.6825,                 1.3432,                 2.1908,               0.004852,               0.004852,               0.004852
                     54,                 1.2063,                0.84577,                 1.2913,                0.83738,                0.69584,                0.76055,                0.41994,                 1.6854,                 1.2989,                  2.189,               0.004753,               0.004753,               0.004753
                     55,                 1.2066,                0.89498,                 1.3126,                0.79096,                0.69028,                0.75963,                0.44174,                 1.5423,                 1.3096,                 1.9352,               0.004654,               0.004654,               0.004654
                     56,                  1.207,                 0.8446,                 1.3438,                0.84562,                0.72169,                0.77284,                0.48572,                 1.4602,                 1.2071,                 1.8549,               0.004555,               0.004555,               0.004555
                     57,                 1.2147,                0.80827,                  1.251,                0.88123,                0.65541,                0.74056,                0.44542,                 1.5485,                 1.2738,                 2.0411,               0.004456,               0.004456,               0.004456
                     58,                 1.3434,                0.94892,                 1.4219,                0.84215,                0.63086,                0.71212,                0.41247,                 1.5958,                 1.3156,                 2.1493,               0.004357,               0.004357,               0.004357
                     59,                 1.1087,                0.86646,                 1.3268,                0.75869,                0.51689,                0.60974,                0.33818,                 1.6402,                  1.526,                 2.2205,               0.004258,               0.004258,               0.004258
                     60,                 1.2645,                0.83243,                 1.2803,                0.78929,                0.50676,                 0.6193,                0.32607,                 1.6829,                 1.5068,                 2.2866,               0.004159,               0.004159,               0.004159
